agent,model,dataset,early_success,early_total,early_rate,middle_success,middle_total,middle_rate,late_success,late_total,late_rate
OpenHands,Claude-3.5-Sonnet,lite,154,348,44.252873563218394,294,592,49.66216216216216,566,815,69.4478527607362
OpenHands,Claude-3.5-Sonnet,verified,313,747,41.900937081659976,570,1100,51.81818181818182,1047,1446,72.40663900414937
OpenHands,Claude-4-Sonnet,verified,1018,1439,70.74357192494787,1745,2884,60.50624133148405,3810,5010,76.04790419161677
OpenHands,GPT-5,verified,123,225,54.666666666666664,506,755,67.01986754966887,703,977,71.95496417604913
OpenHands,Kimi-K2,verified,576,906,63.576158940397356,1646,2701,60.94039244724176,2911,4122,70.62105773896167
OpenHands,Unknown,verified,261,429,60.83916083916085,769,1388,55.403458213256485,1843,2570,71.71206225680933
SWE-agent,Claude-3-Opus,lite,105,291,36.08247422680412,91,224,40.625,143,285,50.175438596491226
SWE-agent,Claude-3-Opus,verified,155,484,32.02479338842975,140,422,33.175355450236964,226,445,50.78651685393258
SWE-agent,Claude-3.5-Sonnet,lite,151,382,39.52879581151832,144,536,26.865671641791046,326,705,46.241134751773046
SWE-agent,Claude-3.5-Sonnet,verified,266,741,35.8974358974359,318,1031,30.84384093113482,595,1220,48.77049180327869
SWE-agent,GPT-4,lite,143,341,41.935483870967744,80,226,35.39823008849557,131,238,55.04201680672269
SWE-agent,GPT-4,verified,212,566,37.455830388692576,126,369,34.146341463414636,226,389,58.09768637532133
SWE-agent,GPT-4o,lite,200,621,32.2061191626409,170,642,26.479750778816197,291,657,44.29223744292237
SWE-agent,GPT-4o,verified,249,990,25.151515151515152,243,1055,23.033175355450236,409,1131,36.162687886825815
