dataset,agent,subset,n,prohibited_resolved,prohibited_rate,unrestricted_resolved,unrestricted_rate,gap_pp
swebenchlite,claude_code,env_clean,7,3,0.42857142857142855,3,0.42857142857142855,0.0
swebenchlite,claude_code,prohibit_strict,82,53,0.6463414634146342,54,0.6585365853658537,-1.2195121951219512
swebenchlite,claude_code,all,100,63,0.63,64,0.64,-1.0
swebenchlite,codex,env_clean,17,13,0.7647058823529411,12,0.7058823529411765,5.88235294117647
swebenchlite,codex,prohibit_strict,100,74,0.74,73,0.73,1.0
swebenchlite,codex,all,100,74,0.74,73,0.73,1.0
swebenchlite,opencode,env_clean,51,2,0.0392156862745098,3,0.058823529411764705,-1.9607843137254901
swebenchlite,opencode,prohibit_strict,93,7,0.07526881720430108,6,0.06451612903225806,1.0752688172043012
swebenchlite,opencode,all,100,7,0.07,6,0.06,1.0
swebenchverified,claude_code,env_clean,22,10,0.45454545454545453,11,0.5,-4.545454545454546
swebenchverified,claude_code,prohibit_strict,84,52,0.6190476190476191,56,0.6666666666666666,-4.761904761904762
swebenchverified,claude_code,all,100,64,0.64,67,0.67,-3.0
swebenchverified,codex,env_clean,34,27,0.7941176470588235,28,0.8235294117647058,-2.941176470588235
swebenchverified,codex,prohibit_strict,99,73,0.7373737373737373,75,0.7575757575757576,-2.0202020202020203
swebenchverified,codex,all,100,73,0.73,75,0.75,-2.0
swebenchverified,opencode,env_clean,46,6,0.13043478260869565,6,0.13043478260869565,0.0
swebenchverified,opencode,prohibit_strict,100,13,0.13,14,0.14,-1.0
swebenchverified,opencode,all,100,13,0.13,14,0.14,-1.0
